video_name,vid,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,target_encode_energy_uj,decode_energy_uj,total_energy_uj
Gaming_2160P-2cb1,Gaming_2160P-2cb1,2160,3840,2160,yuv420p,59.94006309,5951100,353188,47.982328,97.52267,10,25655.30449739661,1674.5634943890389,27329.86799178565
Gaming_2160P-2cb1,Gaming_2160P-2cb1,2160,3840,2160,yuv420p,59.94006309,5951100,126738,39.979935,90.290107,20,15741.46387127682,981.4781650594144,16722.942036336237
Gaming_2160P-2cb1,Gaming_2160P-2cb1,2160,3840,2160,yuv420p,59.94006309,5951100,21070,33.443963,69.264434,30,9004.011039,469.47651569667113,9473.487554824002
Gaming_2160P-2cb1,Gaming_2160P-2cb1,2160,3840,2160,yuv420p,59.94006309,5951100,1766,29.38563,31.684888,40,6398.077915974311,321.4585388127708,6719.536454787081
Gaming_2160P-2cb1,Gaming_2160P-2cb1,2160,3840,2160,yuv420p,59.94006309,5951100,411,26.866206,1.815754,50,5569.923739615752,278.1103861466667,5848.034125762419
Gaming_2160P-2cb1,Gaming_2160P-2cb1_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5951100,82246,32.106668,77.068058,10,6789.547601530934,557.6979274414841,7347.245528972418
Gaming_2160P-2cb1,Gaming_2160P-2cb1_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5951100,20989,31.539849,66.62248,20,3979.172586351333,265.2486335957581,4244.42122
Gaming_2160P-2cb1,Gaming_2160P-2cb1_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5951100,3357,30.219276,44.351835,30,2002.7352481623425,88.76190788214285,2091.4971560444856
Gaming_2160P-2cb1,Gaming_2160P-2cb1_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5951100,419,27.957833,10.080849,40,1472.7382478591055,56.88153288696818,1529.619780746074
Gaming_2160P-2cb1,Gaming_2160P-2cb1_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5951100,120,25.958593,0.063346,50,1262.7356708587356,43.91176306153847,1306.647433920274
Gaming_2160P-2cb1,Gaming_2160P-2cb1_downsample_720p,720,1280,720,yuv420p,59.94006309,5951100,33997,30.444892,61.817691,10,2910.839010326684,218.4597653,3129.2987756096254
Gaming_2160P-2cb1,Gaming_2160P-2cb1_downsample_720p,720,1280,720,yuv420p,59.94006309,5951100,8087,30.084983,49.917895,20,1511.4165834130015,89.70444715077522,1601.121030563777
Gaming_2160P-2cb1,Gaming_2160P-2cb1_downsample_720p,720,1280,720,yuv420p,59.94006309,5951100,1394,29.117294,26.865254,30,898.0156367578434,47.41206978636605,945.4277065442094
Gaming_2160P-2cb1,Gaming_2160P-2cb1_downsample_720p,720,1280,720,yuv420p,59.94006309,5951100,201,27.250068,1.43895,40,625.4650197474789,26.466491241000007,651.9315109884789
Gaming_2160P-2cb1,Gaming_2160P-2cb1_downsample_720p,720,1280,720,yuv420p,59.94006309,5951100,65,25.433504,0.022019,50,523.8030784677293,18.386825892856248,542.1899043605855
Gaming_2160P-2dc4,Gaming_2160P-2dc4,2160,3840,2160,yuv420p,59.94006309,5956076,132223,50.641759,98.610209,10,22743.122213000814,1035.877694,23778.99990696461
Gaming_2160P-2dc4,Gaming_2160P-2dc4,2160,3840,2160,yuv420p,59.94006309,5956076,28064,45.109978,94.87006,20,12146.242765869914,508.0081274554001,12654.250893325314
Gaming_2160P-2dc4,Gaming_2160P-2dc4,2160,3840,2160,yuv420p,59.94006309,5956076,5384,40.319748,81.486881,30,8341.102072002866,326.7240920197679,8667.826164022634
Gaming_2160P-2dc4,Gaming_2160P-2dc4,2160,3840,2160,yuv420p,59.94006309,5956076,1157,35.978119,52.369128,40,6486.935826320983,293.6549758647028,6780.590802185686
Gaming_2160P-2dc4,Gaming_2160P-2dc4,2160,3840,2160,yuv420p,59.94006309,5956076,436,32.458929,18.07171,50,5795.971943112727,285.1282356197706,6081.100178732498
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5956076,33574,41.468575,90.367897,10,6437.765576683713,359.6605295245099,6797.426106208223
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5956076,7552,39.98631,82.752275,20,2944.7927570573515,125.79571511224486,3070.588472169597
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5956076,1615,37.278468,62.319744,30,1992.8985295640969,72.85702708252904,2065.755556646626
