video_name,vid,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,target_encode_energy_uj,decode_energy_uj,total_energy_uj
Vlog_2160P-030a,Vlog_2160P-030a,2160,3840,2160,yuv420p,23.97602398,2386411,185000,48.628666,99.844952,10,31694.46292497931,1451.8024033333336,33146.26532831264
Vlog_2160P-030a,Vlog_2160P-030a,2160,3840,2160,yuv420p,23.97602398,2386411,52052,41.899812,98.51851,20,22543.942125644782,723.1644235294118,23267.10655
Vlog_2160P-030a,Vlog_2160P-030a,2160,3840,2160,yuv420p,23.97602398,2386411,7576,37.283224,89.566655,30,12245.432156626488,355.92156600000004,12601.353722626489
Vlog_2160P-030a,Vlog_2160P-030a,2160,3840,2160,yuv420p,23.97602398,2386411,1478,33.394732,72.348178,40,7529.439788153844,244.2552983,7773.695086453844
Vlog_2160P-030a,Vlog_2160P-030a,2160,3840,2160,yuv420p,23.97602398,2386411,429,27.74339,42.112254,50,5695.429934999999,68.284995,5763.714929999999
Vlog_2160P-030a,Vlog_2160P-030a_downsample_1080p,1080,1920,1080,yuv420p,23.97602398,2386411,54099,32.417735,88.046318,10,8705.781299803142,571.4552832847896,9277.236583087932
Vlog_2160P-030a,Vlog_2160P-030a_downsample_1080p,1080,1920,1080,yuv420p,23.97602398,2386411,10494,31.987326,82.752003,20,5281.557812498645,227.2564197340425,5508.814232232688
Vlog_2160P-030a,Vlog_2160P-030a_downsample_1080p,1080,1920,1080,yuv420p,23.97602398,2386411,1815,31.359586,73.188431,30,2983.0689982729787,118.41500461111109,3101.484003
Vlog_2160P-030a,Vlog_2160P-030a_downsample_1080p,1080,1920,1080,yuv420p,23.97602398,2386411,428,29.581234,52.832141,40,1872.1672951412672,83.13165384313726,1955.2989489844044
Vlog_2160P-030a,Vlog_2160P-030a_downsample_1080p,1080,1920,1080,yuv420p,23.97602398,2386411,107,25.901191,23.244484,50,1506.912179862962,56.47727,1563.3894498629622
Vlog_2160P-030a,Vlog_2160P-030a_downsample_720p,720,1280,720,yuv420p,23.97602398,2386411,23384,26.891788,71.337923,10,4690.008370592256,349.90326729435475,5039.911637886611
Vlog_2160P-030a,Vlog_2160P-030a_downsample_720p,720,1280,720,yuv420p,23.97602398,2386411,3573,26.807894,66.703418,20,2523.8605033781314,131.5461587586207,2655.406662136752
Vlog_2160P-030a,Vlog_2160P-030a_downsample_720p,720,1280,720,yuv420p,23.97602398,2386411,586,26.692338,57.503703,30,1349.059188456621,70.94033342857142,1419.9995218851925
Vlog_2160P-030a,Vlog_2160P-030a_downsample_720p,720,1280,720,yuv420p,23.97602398,2386411,146,26.304525,38.012791,40,938.3103571884918,59.13744519,997.4478023807995
Vlog_2160P-030a,Vlog_2160P-030a_downsample_720p,720,1280,720,yuv420p,23.97602398,2386411,46,25.36646,16.24375,50,751.8094271,15.154713166666667,766.9641402166666
Gaming_2160P-3002,Gaming_2160P-3002,2160,3840,2160,yuv420p,24,2388797,72670,53.597605,99.910495,10,21743.29003305232,939.6609745833334,22682.951007635653
Gaming_2160P-3002,Gaming_2160P-3002,2160,3840,2160,yuv420p,24,2388797,23079,48.393014,99.494214,20,16445.61782460001,572.3951435714285,17018.01296817144
Gaming_2160P-3002,Gaming_2160P-3002,2160,3840,2160,yuv420p,24,2388797,6911,43.125606,93.297675,30,11732.552520406378,330.6060563,12063.15857665638
